YS (MPa),UTS (MPa),K (Mpa),n,Lankford anisotropy coefficient (r),Category,Thickness,"Tool diameter (A, mm)","Step size (B, mm)",Spindle Speed (rpm),"Feed rate (D, mm/min)",Surface roughness (SR),Wall Angle (degree,r/h or l/h,Links,tool dia>5,tool dia>5 and n>0.11,,Category
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.73,44.7,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,450,1500,3.74,68.2,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,450,2500,4.01,67,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,950,1500,3.45,61.5,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,950,2500,3.65,62.2,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,450,1500,3.27,64.5,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,450,2500,3.49,53.8,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,950,1500,3.19,57.4,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,950,2500,3.34,51.3,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,1159.1,4.56,65.5,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2840.8,5.18,54.3,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,279.55,2000,3.54,59.5,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,1120.4,2000,2.32,56.5,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.1,700,2000,2.41,71.6,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,1.1,700,2000,1.92,61.4,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.41,50.2,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.75,46.7,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.7,47.3,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,15,0.6,700,2000,2.75,41.6,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,15,0.6,700,2000,2.71,49.5,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.73,44.7,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,450,1500,3.74,68.2,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,450,2500,4.01,67,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,950,1500,3.45,61.5,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,950,2500,3.65,62.2,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,450,1500,3.27,64.5,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,450,2500,3.49,53.8,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,950,1500,3.19,57.4,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.9,950,2500,3.34,51.3,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,1159.1,4.56,65.5,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2840.8,5.18,54.3,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,279.55,2000,3.54,59.5,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,1120.4,2000,2.32,56.5,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.1,700,2000,2.41,71.6,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,1.1,700,2000,1.92,61.4,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.41,50.2,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.75,46.7,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.7,47.3,1.4491,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.75,41.6,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.71,49.5,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.6,700,2000,2.73,44.7,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,450,1500,3.74,68.2,2.1765,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,450,2500,4.01,67,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,950,1500,3.45,61.5,1.9016,,,,,
75.8,172,460,0.25,0.7,Square frustum with constant angle,1.5,10,0.3,950,2500,3.65,62.2,1.9016,,,,,
